Sign Name,Unicode code point
AŠ, 𒀸
AŠ.AŠ, 𒐀
ḪAL, 𒄬
EŠ6, 𒐁
AŠ.AŠ.AŠ, 𒐁
BAL, 𒁄
GÍR, 𒄈
GÍR-gunû, 𒄉
BÚR, 𒁔
TAR, 𒋻
AN, 𒀭
MUG, 𒈮
ZADIM, 𒈯
MUG-gunû, 𒈯
BA, 𒁀
ZU, 𒍪
SU, 𒋢
SUoverSU, 𒋢
ŠEN, 𒊿
SU×A, 𒊿
ARAD, 𒀴
ÁRAD, 𒀵
ARAD×KUR, 𒀵
ITI, 𒌗
UD×EŠ, 𒌗
ITI, 𒌚
UD-šeššig, 𒌚
ÍTI, 𒌛
ITI×BAD, 𒌛
ŠUBUR, 𒋚
ŠAḪ,𒋚
KA, 𒅗
KA×GÍR, 𒅨
TU6, 𒅲
KA×LI, 𒅲
KA×TU, 𒎆
KA×RU, 𒅽
UŠ11, 𒅜
KA×BAD, 𒅜
KA×MAŠ/BAR, 𒅞
NUNDUM, 𒅻
KA×NUN, 𒅻
SU6, 𒅾
KA×SA, 𒅾
PÙ, 𒅤
KA×KÁR, 𒅤
KA× AD.KUG, 𒅚
KA×NE, 𒅺
KA×ÚR, 𒎇
KA×KIB, 𒅪
KA×GAG, 𒅯
KA×UŠ, 𒆋
KA×PA, 𒎄
KA×GIŠ, 𒎀
KA×ŠID, 𒆂
KA×Ú, 𒆈
KAxGA, 𒅢
KA×SAR, 𒅿
KA×ÁŠ, 𒅛
KA×DÚB, 𒅝
BALAG, 𒅝
KA×ŠA, 𒆀
ŠÙDU, 𒆃
KA×ŠU, 𒆃
KA×ŠE, 𒆁
KA×UD, 𒆉
KA×PI, 𒅼
KA×ERIM, 𒅠
BÚN, 𒅮 
KA×IM, 𒅮
KA×ḪAR,
KA×U, 𒆇
KA×MI, 𒅸
KA×IGI, 𒅭
KA×KI, 𒅰
EME, 𒅴
KA×ME, 𒅴
KA×ME.GI, 𒅶
KA×ME.DU, 𒅵
KA×ME.TE, 𒅷
KA×ŠÈ, 𒅡
KA×GUR7, 𒅬
NAG, 𒅘 
KA×A, 𒅘
GU7, 𒅥 
KA×NÍG, 𒅥
KA×KADRA, 𒅦
NÍG.ŠÀ.A, 𒅦
KA×SIG, 𒆄
KA×GU, 𒅫
URU, 𒌷
IRI, 𒌷
URU×TU, 𒍋
UKKIN, 𒌺
URU×MAŠ/BAR, 𒌺
URU×KÁR, 𒌾
BANŠUR, 𒍎 
URU×URUDU, 𒍎
ŠÀKIR, 𒌼 
URU×GA, 𒌼
ÚRU, 𒍍 
URU×UD, 𒍍
URU×UL, 𒍌
ASARI, 𒍂 
URU×IGI, 𒍂
GIŠGAL, 𒍇 
URU×MIN, 𒍇
URU×A, 𒌸
URU×ḪA, 𒍁
ÈRIM, 𒌿 
URU×NÍG, 𒌿
URU×GU, 𒍀 
GUR5, 𒍀
LI, 𒇷
TU, 𒌅
KU4, 𒆭
GUR8, 𒋽
TE-gunû, 𒋽
LA, 𒆷
APIN, 𒀳 
ENGAR, 𒀳
MAḪ, 𒈤
PAB, 𒉽
PAP, 𒉽
UTUKI, 𒍙
KÚR.IR.GÍDIM, 𒍙
PÚŠ, 𒉽 &  𒄬 
PAB.ḪAL, 𒉽 &  𒄬
BÙLUG, 𒉽 &  𒉽
PAB.IŠ, 𒉽 &  𒅖 
PA6, 𒉽 &  𒅖
PAB.E, 𒉽 &  𒂊 
PA5, 𒉽 &  𒂊
ExPAB, 𒂋
GÀM, 𒆛 
PAB.NÁ, 𒆛
MU, 𒈬
SÌLA, 𒋡
ŠEŠLAM, 𒋂
ZIoverZI, 𒍤
NÚMUNm, 𒍤 &  𒆸 
ZIoverZI.LAGAB, 𒍤 &  𒆸
ZIoverZI.ŠÈ, 𒍤 &  𒂠
ZIoverZI.A, 𒍤 &  𒀀
GIL, 𒄃 
GIoverGI, 𒄃
KÍD, 𒋺
TAG4, 𒋺
NUNcrossingNUN, 𒉫
KÁD, 𒆐
KÀD, 𒆑
RU, 𒊒
NU, 𒉡
BAD, 𒁁
IDIM, 𒅂
TIL, 𒌀
ÚŠ, 𒍗
ÈŠE, 𒑘 
AŠ+U, 𒑘
ŠIR, 𒋓
ŠIR, 𒉢
ŠIR-tenû, 𒋔
NUMUN, 𒆰
NUMUN-gunû, 𒆱
TI, 𒋾
TI-tenû, 𒋾
DIN, 𒁷
