Sign Name,Unicode code point
DIN.KASKAL.SIG7, 𒁸
MAŠ, 𒈦
BAR, 𒁇
BÁN, 𒑏
KÚNGA, 𒁇 &  𒀭
BAR.AN, 𒁇 &  𒀭
IDIGNA, 𒈦 &  𒄘 &  𒃼
MAŠ.GÚ.GÀR, 𒈦 &  𒄘 &  𒃼
DALLA, 𒈦 &  𒄘 &  𒃼
GÍDIM, 𒈦 &  𒌋 
MAŠ.U, 𒈦 &  𒌋
MAŠ.MAN, 𒈦 &  𒎙
AG, 𒀝
AG×ŠÍTA, 𒀟
MÈ, 𒀞 
AG×ERIM, 𒀞
MÁŠ, 𒈧
KUN, 𒆲
ḪU, 𒄷
NAM, 𒉆
BURU5, 𒉆 &  𒂟 
NAM.ERIM, 𒉆 &  𒂟
IG, 𒅅 
GÁL, 𒅅
MUD, 𒄷 &  𒄭
SA4, 𒄷 &  𒈿 
ḪU.NÁ, 𒄷 &  𒈿
ŠÌTA, 𒋥 
RAD, 𒋥
ZI, 𒍣
GI, 𒄀
GI×E, 𒄁
RI, 𒊑
NUN, 𒉣
NUN-tenû, 𒉩
TÙR (NUN.LAGAR), 𒉣 &  𒇬
NUNcrossingNUN. LAGARoverLAGAR, 𒉬
IMMAL (NUN. LAGAR×BAR/MAŠ), 𒉥
TÙR×UŠ, 𒉥
TÙR×NÍG, 𒉤
ŠILAM (NUN. LAGAR×MUNUS), 𒉦
ŠILAMoverŠILAM, 𒉧
KAB, 𒆏
ḪÚB, 𒄸
ḪUB (ḪÚB×UD), 𒄽
SUR (ŠUR), 𒋩
MÚŠ (MÙŠ-gunû), 𒈽
MÙŠ (INANNA), 𒈹
MÙŠxA, 𒈺
SED (MÙŠ× A.DI), 𒈻
MÙŠ×ZA,
GAD, 𒃰
GAD.KÍD, 𒃰 &  𒋺
AKKIL (GAD.KÍD.SI), 𒃰 &  𒋺 &  𒋛
UMBIN (GAD.KÍD.ÚR), 𒌢
SIG8 (GAD.KÍD.GIŠ), 𒃰 &  𒋺 &  𒄑
ŠINIG (GAD.NAGA), 𒋒
KINDA (GAD.NÍGoverGAD.NÍG), 𒃱
EN, 𒂗
ENME, 𒂚
ENoverENcrossed, 𒂛
4×ENsquared, 𒂝
"""4×EN"" (KUoverḪAR.KUoverḪAR)", 𒆫
AŠ.KU.KUoverAŠ.KU.KU .KÚR, 𒀻
BURU14 (EN×KÁR/EN×GÁN), 𒂘
EN×KÁR (GÁN-tenû), 𒂙
DÀR, 𒁰
DIM, 𒁴
"DIM×ŠE, later DIM×KUR", 𒁵
BULUG, 𒁑
MÉNBULUG (BULUGoverBULUG), 𒁑
LÀL (TA×ḪI), 𒋭
KU7, 𒆯
SA, 𒊓
AŠGAB, 𒀿
GÁN, 𒃷
GÁNoverGÁN, 𒃹
KÁR (GÁN-tenû and ŠÈ-tenû), 𒃸
GÚ (TIK), 𒄘
"USAN (GÚ×NUN, GÚ.NUN)", 𒄛
"DUR (GÚxGAG, GÚ.GAG)", 𒄙
GUN (GÚ.UN), 𒄘 &  𒌧
GUR, 𒄥
SI, 𒋛
SU4 (SI-gunû), 𒋜
"DAR (GÙN; ḪU-gunû, SI-gunû)", 𒁯
"DAR (GÙN; ḪU-gunû, SI-gunû)",
SAG, 𒊕
SAGoverSAG, 𒊧
SAG×NUN, 𒊞
SAG×UM, 𒊤
SAG×DU, 𒊗
SAG×GAG, 𒊚
SAG×NI,
SAG×UŠ, 𒊦
DÌLIB (SAG×ŠID), 𒊠
SAG×Ú, 𒊢
SAG×UB, 𒊣
SAG×SIG7,
KÀN (SAG×MI), 𒊝
SAG×UR, 𒊥
SAG×A, 𒊖
SAG×ḪA, 𒊙
SAG×MUNUS, 𒊟
SAG×LUM, 𒊜
MÁ, 𒈣
DIMGUL, 𒈣 &  𒈮
MÁ.MUG, 𒈣 &  𒈮
ÙZ (MÁ.KASKAL), 𒍚
ÙZ.KASKAL, 𒍛
SUR9, 𒋪 
MÁ.KASKAL.SIG7, 𒋪
DIR, 𒋛 &  𒀀
(SI.A), 𒋛 &  𒀀
