Sign Name,Unicode code point
EŠ16 (AŠoverAŠoverAŠ), 𒀼
EŠ16 (AŠoverAŠoverAŠ), 𒐺
LIMMU4, 𒐽
GI4 (GI-gunû), 𒄄
GIGI (GI4overGI4crossed), 𒄆
GIGI (GI4overGI4), 𒄅
ÚSAN (GÚ-gunû), 𒄝
ÚSAN.GAG, 𒄝 &  𒆕
RA, 𒊏
DÙL (SAG-gunû), 𒊨
IA9 (EŠ16.TAB), 𒀼 &  𒋰
IA9 (EŠ16.TAB), 𒐺 &  𒋰
LÚ, 𒇽
LÚoverLÚcrossed, 𒈒
LÚ.LÚinversum, 𒈓
4×LÚ forming a cross, 𒈔
LÚ-tenû, 𒈑
"LÚ-šeššig (""LÚ.GAM"")", 𒈕
LÚ×BAD, 𒇿
"LÚ-šeššig×BAD (""LÚ×BAD .GAM"")",
LÚ×KÁD, 𒈅
LÚ×KÍD or,
LÚ×KÀD ?, 𒈆
LÚ× KÁR(GÁN-tenû), 𒈂
LÚ×NE, 𒈌
LÚ×AL, 𒇾
LÚ×ŠU,
LÚ×KAM*, 𒈃
LÚ×IM, 𒈄
LÚ×KI, 𒈈
LÚ× ME.EN, 𒈋
LÚ×LAGAB, 𒈊
LÚ×KU or similar,
LÚ×TÚG, 𒈐
LÚ×ŠÈ, 𒈀
LÚ×ŠÈ-tenû, 𒈁
LÚ× ŠÈ.LAL,
LÚ× SÍG.BU, 𒈏
see n516,see n516
ŠEŠ (ÙRI), 𒋀
ŠEŠ (ÙRI), 𒌶
AŠ9 (EŠ16.EŠ16), 𒑀
ÌMIN (EŠ16.EŠ16.AŠ), 𒑁
ÙSSU (EŠ16.EŠ16.TAB), 𒑅
ÌLIMMU (EŠ16.EŠ16.EŠ16), 𒑇
ZAG, 𒍠
SAR, 𒊬
UD-gunû, 𒌙
GÀR (QAR), 𒃼
LIL, 𒇸
"MÚRU (MURUB4, NISAG; ITI-gunû)", 𒌘
SAG5, 𒉠
DÉ (SIMUG), 𒌣
DÉ×KASKAL, 𒌤
DÉ×PA, 𒌥
ÁŠ (ZÍZ), 𒀾
ÁŠ (ZÍZ), 𒍩
"BANEŠ (""ÁŠ"")", 𒑑
"BANLIMMU (""ÁŠ.U/GE23"")", 𒑒
"BANLIMMU (""ÁŠ.U/GE23"")", 𒑓
"BANIA (""ÁŠ. UoverU/GE23overGE23"")", 𒑔
"BANIA (""ÁŠ. UoverU/GE23overGE23"")", 𒑕
MA, 𒈠
GAL, 𒃲
GAL.KINDA, 𒃳
BÁRA, 𒁈
GÚG (LÙ; ŠÈ-gunû), 𒈖
GÍN, 𒂆
MIR (NIMGIR), 𒂇
DUN4 (UR-gunû-šeššig/MIR-šeššig), 𒂈
GIR (ḪA-gunû), 𒄫
BUR (NÍG-gunû), 𒁓
Á, 𒀉
DA, 𒁕
GAŠAN, 𒃽
U-gunû/BÙR-gunû, 𒐴
SIG7 (IGI-gunû), 𒅊
DÚB (BALAG), 𒂀
DÚB (BALAG), 𒁆
ŠA, 𒊭
ŠU, 𒋗
KAD4, 𒆒
KAD5, 𒆓
LUL (NAR), 𒈜
SA6, 𒊷
BÌŠEBA (GU4overGU4.LUGAL), 𒄡
ALAM (GU4overGU4.NA), 𒀩
URI (BURoverBUR), 𒌵
