Sign Name,Unicode code point
TAB, 𒋰
4×TAB forming a cross, 𒋲
TABoverTAB.NIoverNI.DIŠoverDIŠ, 𒋱
EŠ21 (TAB.AŠ), 𒐻
MEGIDDA (TAB.TI), 𒋰 &  𒋾
GEŠTIN (GIŠ.DIN), 𒃾
GEŠTIN×KUR, 𒃿
MÉGIDDA (TAB.KUN), 𒋰 &  𒆲
LÍMMU (TAB.TAB), 𒇹
LÍMMU (TAB.TAB), 𒐂
IA7 (TAB.TAB.AŠ), 𒐃
AŠ4 (TAB.TAB.TAB), 𒐄
ÍMIN (TAB.TAB.TAB.AŠ), 𒐅
ÚSSU (TAB.TAB.TAB.TAB), 𒐆
ÍLIMMU (TAB.TAB.TAB.TAB.AŠ), 𒐇
TAG (ŠUM), 𒋳
TAG×GU4, 𒋵
TAG×ŠU, 𒋷
TAG×UD, 𒋹
TAG×TÚG, 𒋸
KÁ, 𒆍
AB, 𒀊
AB×NUN,
AB×KÁR, 𒀎
AB×ŠEŠ, 𒀓
AB×ÁŠ, 𒀋
URUGAL (AB×GAL), 𒀍
AB×SIG7, 𒀐
URUDU (URUDA), 𒍏
AB×U,
AB×AŠ,
UNUG (AB-gunû and/or AB×EŠ), 𒀕
UNUG (AB-gunû and/or AB×EŠ), 𒀔
AB×KI,
AB×LAGAB, 𒀒
AB×GÍN, 𒀌
NINA (AB×ḪA), 𒀏
AB×IMIN, 𒀑
UM, 𒌝
UM×U, 𒌡
URUDU×U, 𒍐
UM× U.LAGAB,
URUDU× U.LAGAB,
UM× ME.DA, 𒌟
DUB, 𒁾
DUB×ŠE,
DUB×ŠÀ,
DUB×LAGAB,
NAB (ANoverAN), 𒀮
MUL (ANoverAN .AN), 𒀯
TA, 𒋫
TA*, 𒋬
TA-gunû, 𒋯
TA×ḪI, 𒋭
TA×MI, 𒋮
I, 𒄿
GAN, 𒃶
KÁM,
TUR (DUMU), 𒌉
TUR.DIŠ, 𒌉 &  𒁹
ZIZNA (TURoverTUR.ZAoverZA), 𒌊
AD, 𒀜
ZÍ( AB×PA), 𒍢
IA (I.A), 𒅀
IN, 𒅔
RAB, 𒊐
DIM8 (RAB.GAN), 𒊐 &  𒃶
DÌM (RAB.GAM), 𒊐 &  𒃵
DIM10 (RAB.KAM*),
LUGAL, 𒈗
LUGALoverLUGAL, 𒈘
DIM9 (LUGAL.GAN), 𒈗 &  𒃶
LUGAL.LUGALinversum, 𒈙
DIM11 (LUGAL.KAM*),
ḪAŠḪUR (MA-gunû), 𒈢
EZEN, 𒂡
EZEN(KEŠDA), 𒆟
BÀD (UG5 (EZEN×AN)), 𒂡
EZEN×LI, 𒂱
EZEN×LA, 𒂯
BÀD (UG5 (EZEN×BAD)), 𒂦
EZEN×SI,
UBARA (EZEN×KASKAL), 𒂬
4×UBARA forming a cross, 𒂭
EZEN×GU4,
EZEN×Ú, 𒂳
EZEN×MIR,
EZEN×SIG7, 𒂫
EZEN×ŠE,
EZEN×UD, 𒂴
EZEN×KUG, 𒂮
ASILAL (EZEN×LÁL), 𒂰
EZEN×LU, 𒂲
EZEN×GÍN,
ÀSILAL (EZEN×A), 𒂢
SIL7 (EZEN× A.LAL), 𒂣
ASILAL4 (EZEN× A.LÁL), 𒂤
EZENxḪA, 𒂩
SUM, 𒋧
NAGA, 𒉀
AN.NAGA.AN.NAGAinversum, 𒀰
4×AN.NAGA forming a cross, 𒀱
NAGAinversum, 𒉁
NAGA. NAGAinversum, 𒉃
NAGA×ŠU-tenû, 𒉂
NIB (PIRIG×KAL), 𒊋
UG (PIRIG×UD), 𒊌
AZ (PIRIG×ZA), 𒊍
GAB, 𒂃
GAB, 𒃮
GAB.LIŠ,
EDIN, 𒂔
TAḪ/DAḪ (MUoverMU), 𒈭
KASKAL, 𒆜
ÌTI (KASKAL.ITI), 𒆜 &  𒌚
ILLAT (KASKAL.KUR), 𒆜 &  𒆳
KASKAL.BU, 𒆜 &  𒁍
KASKAL.AḪ, 𒆜 &  𒄴
KASKAL.LAGAB, 𒆜 &  𒆸
KASKAL.TÚLoverTÚL, 𒆝
KASKALoverKASKAL.TÚLoverTÚL, 𒆞
ZIKURA (KASKAL.ÀŠ), 𒆜 &  𒐋
AM (GU4×KUR), 𒄠
AM×A, 𒄟
UZU, 𒍜
"BÍL (GIBIL; NE×PAB, NE-šeššig)", 𒉋
NE, 𒉈
ÉMEŠ (NE×UD), 𒉊
ENTEN (NE×A), 𒉉
NÍNDA, 𒉒
NÍNDA×AŠ, 𒉔
NÍNDA× AŠ.AŠ, 𒉕
NÍNDA×BAL, 𒎑
ŠÀM (NÍNDA×AN), 𒉓
NÍNDA×BÁN,
NÍNDA×GI, 𒎒
SUMAŠ, 𒋨
AZU (NÍNDA×NUN), 𒉙
AZU (NÍNDA×NUN), 𒍫
AZU×A, 𒍬
NÍNDA×DUB?,
ÁG (NÍNDA×NE), 𒉘
NÍNDA×GU4, 𒉖
NÍNDA×ŠID?,
NÍNDA×Ú,
NÍNDA× Ú.AŠ, 𒉞
NÍNDA× ŠE.AŠ, 𒉜
NÍNDA× ŠE.AŠ.AŠ, 𒉝
NÍNDA× ŠE.A.AN,important code point missing
NÍNDA×ŠE, 𒉚
NÍNDA× ŠE.A .AN, 𒉛
NÍNDA×U,
NÍNDA×MAN,
ZIG/ZIK (NÍNDA×EŠ), 𒍨
NÍNDA× ME.KÍD,
NÍNDA× ME.KÁR, 𒉗
GALAM (SUKUD), 𒃴
KUM (GUM), 𒄣
GAZ (KUM×ŠE), 𒄤
ÚR, 𒌫
ÚR×NUN, 𒌰
ÚR×AL, 𒌮
ÚR×Ú, 𒌱
ÚR× Ú.AŠ, 𒌲
ÚR× A.ḪA, 𒌬
ÚR×ḪA, 𒌯
IL (AL×ŠE), 𒅋
IL×KÁR, 𒅌
DU, 𒁺
LAḪ4 (DUoverDU), 𒁻
SUḪUŠ (DU-gunû), 𒁼
KAŠ4 (DU-šeššig), 𒁽
"ANŠE (GÌR×PA or GÌR×""TAB"")", 𒀲
"ANŠE (GÌR×PA or GÌR×""TAB"")", 𒄏
TUM, 𒌈
TUM-gunû/TUM×KÁR,
EGIR, 𒂕
IŠ, 𒅖
BI, 𒁉
"EŠEMIN5 (""BI"")", 𒑙
BI×SIG7, 𒁌
BI×GAR, 𒁋
ŠIM, 𒋆
ŠIM×BAL, 𒋈
ŠIM×BÚR,
ŠIM×MUG, 𒋐
ŠIM×DIN, 𒋊
ŠIM×BULUG, 𒋉
ŠIM×SIG7, 𒋍
ŠIM×LUL, 𒋏
ŠIM×PI,
ŠIM×IGI, 𒋌
ŠIM×A (DUMGAL), 𒋇
ŠIM×NÍG (BAPPIR), 𒋋
ŠIM×MUNUS (ŠIM×SAL), 𒋑
ŠIM×KÚŠU, 𒋎
GISAL (BI.GIŠ), 𒄐
BÁNŠUR, 𒅃
KIB,
GÁNoverGÁNcrossed, 𒃺
GIŠoverGIŠcrossed, 𒄒
GAG (KAK), 𒆕
NI, 𒉌
NI×E, 𒉍
UŠ (NITA), 𒍑
UŠ×KÍD, 𒍕
UŠ×KU, 𒍓
KÀŠ (UŠ×A), 𒍒
NA4 (NI.UD), 𒉌 &  𒌓
NA4 (NI.UD), 𒉌 &  𒂟
"DÀG (""NA4"")", 𒉌 &  𒂟
GÁ (MAL), 𒂷
"ŠITA (""GÁ"")", 𒋖
GÁ×AŠ, 𒂽
GÁ× ḪAL.LA, 𒃓
GÁ× GÍR.SU, 𒃐
AMA (GÁ×AN), 𒂼
GÁ× AN.GAG.A,
GÁ×KÍD, 𒃩
GÁ×BAD, 𒂿
GÁ×GI, 𒃍
GANUN (GÁ×NUN), 𒃠
GÁ×KAB, 𒃕
GÁ×EN, 𒃉
GÁ×BURU14, 𒃊
"GÁ× MUN(DIM×ŠE, later DIM×KUR)", 𒃅
GÁ×KÁR, 𒃋
GÁ×DUB, 𒃆
GÁ×SUM, 𒃨
GÁ×KASKAL, 𒃙
GÁ× IŠ.ḪU.AŠ, 𒃗
GÁ×GAG, 𒃘
SILA4 (GÁ×PA), 𒃢
SILA4 also: GÁ×ÁŠ,
GÁ× KID.LAL, 𒃛
GÁ×ŠID, 𒃧
ÙR (GÁ×NIR), 𒃡
GÁ×GI4, 𒃎
GÁ×SAR, 𒃤
GÁ× ÁŠ.GAL, 𒂾
GÁ× BUR.RA, 𒃂
GÁ×DA, 𒃃
GÁ×SIG7, 𒃖
ÉSAG (GÁ/É×ŠE), 𒃥
ÉSAG (GÁ/É×ŠE), 𒂒
GÁ× ŠE.TUR, 𒃦
GÁ×UD, 𒃫
GÁx ḪI.LI, 𒃔
GÁ×U, 𒃪
GÁ×ÁB,
ITIMA (GÁ/É×MI), 𒃟
ITIMA (GÁ/É×MI), 𒂐
GÁ×DI, 𒃄
GÁ× KUG.AN, 𒃜
MEN (GÁ× ME.EN), 𒃞
GÁ/É× A.DA.ḪA, 𒂸
GÁ/É× A.DA.ḪA, 𒂎
GÁ× A.IGI, 𒂺
GÁ× ḪA.LU.ŠÈ, 𒃑
GALGA (GÁ/É×NÍG), 𒃌
GALGA (GÁ/É×NÍG), 𒂏
ARḪUŠ (GÁ/É×MUNUS), 𒃣
ARḪUŠ (GÁ/É×MUNUS), 𒂑
GÁ× EL.LA, 𒃈
"ŠÍTA (""GÁ.GIŠ"")", 𒋖 &  𒄑
KISAL, 𒆦
NI+GIŠ,
IR (GAG-gunû), 𒅕
DAG (PÀR), 𒁖
DAG.KISIM5,
KIŠI8 (DAG.KISIM5×GÍR(-gunû?)), 𒁞
DAG.KISIM5×LA, 𒁤
DAG.KISIM5×MUNU4, 𒁩
DAG.KISIM5×KÍD, 𒁫
DAG.KISIM5×GI, 𒁝
DAG.KISIM5×SI, 𒁪
DAG.KISIM5×NE, 𒁨
DAG.KISIM5×BI, 𒁚
DAG.KISIM5×GAG, 𒁣
UTUA (DAG.KISIM5×UŠ), 𒁭
"ÙBUR (DAG.KISIM5×""IR"")", 𒁡
"UBUR4 (DAG.KISIM5× ""IR"".LU)", 𒁢
UTUL5 (DAG.KISIM5×GU4), 𒁟
KIŠI9 (DAG.KISIM5× Ú.GÍR(-gunû?)), 𒁬
DAG.KISIM5× Ú.MAŠ/BAR,
UBUR (DAG.KISIM5×GA), 𒁛
DAG.KISIM5×DÉ or,
DAG.KISIM5×MÚRU ?,
DAG.KISIM5×DÚB/BALAG, 𒁙
DAG.KISIM5×AMAR, 𒁘
ÚBUR (DAG.KISIM5×LU), 𒁥
AMAŠ (DAG.KISIM5× LU.MÁŠ), 𒁦
DAG.KISIM5×A.MAŠ, 𒁗
DAG.KISIM5×ḪA, 𒁠
DAG.KISIM5×LUM, 𒁧
PA, 𒉺
"BANMIN (""PA"")", 𒑐
ŠAB (PA.IB), 𒉺 &  𒅁
NUSKA (PA.TÚG), 𒉺 &  𒌆
SIPA (PA.LU), 𒉺 &  𒇻
GIŠ (GEŠ), 𒄑
GIŠ-tenû, 𒄕
GIŠ×BAD, 𒄓
GU4, 𒄞
GU4×KASKAL,
AL, 𒀠
AL×KÍD,
AL×KÀD, 𒀥
AL×UŠ, 𒀨
AL×GIŠ, 𒀣
AL×AL, 𒀡
AL×ŠE, 𒀧
AL×GIM, 𒀢
AL×KI, 𒀦
AL×ḪA, 𒀤
MAR, 𒈥
KID (LÍL), 𒆤
ŠID (LAG), 𒋃
SAG5, 𒉠
MES (RID), 𒈩
ŠID×IM, 𒋅
MES/UM×ME, 𒎘
ÚMBISAG (ŠID×A), 𒋄
Ú, 𒌑
GA, 𒂵
GA-gunû, 𒂶
ÍL (GA.GÍN), 𒅍
LUḪ, 𒈛
É, 𒂍
KAL, 𒆗
KAL, 𒄨
KALoverKALcrossed, 𒆙
ALAD (KAL×BAD), 𒆘
E, 𒂊
EoverE.NUNoverNUN, 𒂌
DUG (BI×A), 𒂁
DUG (BI×A), 𒁊
KALAM,
UN,
NIR (NUNoverNUN), 𒉪
GURUN, 𒄧
UB, 𒌒
